case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,next_command
NET-011,Two users report their PCs keep dropping network connectivity intermittently at the same time.,Static IP assignment used on lab printers and a few PCs on VLAN 10.,Printer1 static IP 192.168.10.50 | PC5 static IP 192.168.10.50 | switch log: %IP-4-DUPADDR duplicate address 192.168.10.50,"Duplicate IP address 192.168.10.50 assigned to both Printer1 and PC5, causing intermittent ARP conflicts.",Layer 3,Duplicate IP,High,show ip arp
NET-012,PC6 on VLAN 40 can ping some hosts on the same VLAN but not others.,VLAN 40 subnet designed as 10.40.0.0/25 (mask 255.255.255.128).,PC6 ip 10.40.0.10 mask 255.255.255.0 (incorrect) | Gateway ip 10.40.0.1 mask 255.255.255.128,"PC6 has the wrong subnet mask (/24 instead of /25), causing it to miscalculate which hosts are local vs remote.",Layer 3,Subnet Mask,Medium,ipconfig /all
NET-013,Branch office cannot reach HQ subnet 172.16.0.0/16 after a static route change.,Static route was re-typed with a wrong next-hop during maintenance window.,"ip route 172.16.0.0 255.255.0.0 203.0.113.2 (should be 203.0.113.1) | show ip route: 172.16.0.0/16 via 203.0.113.2, unreachable","Static route next-hop 203.0.113.2 is incorrect; should point to 203.0.113.1, the actual WAN link IP.",Layer 3,Routing,High,show ip route static
NET-014,Remote admin cannot SSH into R2 despite correct credentials and reachable IP.,ACL 10 applied to vty lines restricting management access.,line vty 0 4 access-class 10 in | access-list 10 permit host 10.0.0.5 (admin PC is 10.0.0.15),"ACL 10 on the vty lines only permits 10.0.0.5, but the admin's actual IP is 10.0.0.15, so SSH is blocked.",Layer 3/4,ACL,Medium,show ip access-lists 10
NET-015,Devices in the new Marketing VLAN 50 get IPs from the wrong subnet (VLAN 10's range).,ip helper-address on Gi0/0.50 mistakenly still points to old DHCP relay target used for VLAN10 testing.,"interface Gi0/0.50 ip helper-address 10.0.10.5 (VLAN10 DHCP server, should be 10.0.50.5)",ip helper-address on the VLAN 50 sub-interface points to the VLAN 10 DHCP server instead of the VLAN 50 pool/server.,Layer 3,DHCP,Medium,show running-config interface Gi0/0.50
NET-016,"File transfers to Server2 are extremely slow with occasional errors, though connectivity works.","Server2 NIC set to auto, switch port manually set to 100/full.","show interfaces Gi0/5: 100Mb/s, half-duplex, input errors 1450, CRC 980, late collisions detected","Duplex mismatch between switch port (fixed full) and server NIC (auto negotiated half), causing collisions and errors.",Layer 1/2,Interface/Duplex,Low,show interfaces Gi0/5
NET-017,Only one internal host at a time can browse the internet; others get connection failures.,NAT configured with static one-to-one translation instead of PAT/overload for the LAN pool.,"ip nat inside source static 10.0.0.10 203.0.113.5 | no 'overload' keyword present, no NAT pool for remaining hosts","NAT is configured as a single static translation rather than PAT with overload, so only 10.0.0.10 can reach the internet.",Layer 3,NAT,Medium,show run | include ip nat
NET-018,A newly added PC on Sw3 port Fa0/12 cannot get an IP and shows link up/link down flapping.,Fa0/12 was supposed to be assigned to VLAN 20 access mode.,"interface FastEthernet0/12 switchport mode access, switchport access vlan 999 (VLAN 999 does not exist)","Port Fa0/12 is assigned to VLAN 999, which was never created, so the port is effectively isolated.",Layer 2,VLAN,High,show vlan brief
NET-019,Traffic from LAN reaches the internet but return traffic for some sessions never arrives (asymmetric routing suspected).,Dual WAN links with unequal-cost static routes and no policy routing configured.,ip route 0.0.0.0 0.0.0.0 203.0.113.1 5 | ip route 0.0.0.0 0.0.0.0 198.51.100.1 10 | no PBR configured,Two default routes with different next-hops cause asymmetric routing for stateful services (e.g. NAT'd sessions) without policy routing to keep flows consistent.,Layer 3,Routing,Medium,show ip route 0.0.0.0
NET-020,Internal server suddenly cannot send SNMP traps to the monitoring station after an ACL update.,Outbound ACL 120 tightened last week to restrict server subnet egress traffic.,access-list 120 permit tcp any any established | access-list 120 deny ip any any (no permit for udp 162),"ACL 120 has no permit rule for UDP port 162 (SNMP traps), so trap packets are silently dropped by the implicit/explicit deny.",Layer 3/4,ACL,High,show access-lists 120
NET-021,Internal website loads over HTTPS but browser shows certificate name mismatch warnings.,Internal DNS has a CNAME pointing to the wrong internal hostname after a server rename.,"nslookup portal.internal.local: CNAME oldserver.internal.local -> 10.0.5.20 (cert issued for portal.internal.local, not oldserver)","Stale DNS CNAME record points to the old server hostname, causing a TLS certificate name mismatch (application-layer issue, not connectivity).",Layer 7,DNS,Low,nslookup portal.internal.local
NET-022,Entire branch office loses connectivity to HQ simultaneously; local LAN still works fine.,"Single WAN serial link between branch router and HQ, recently re-cabled.","Serial0/0/0 is down, line protocol is down (cable disconnected/carrier loss)",Physical layer failure on the WAN serial interface (cable/carrier loss) is taking down the only path to HQ.,Layer 1,Interface,High,show controllers serial0/0/0
NET-023,Inter-VLAN routing works for VLAN10 and VLAN20 but a newly added VLAN60 has no connectivity to other VLANs.,Router-on-a-stick config; new sub-interface added for VLAN60 but encapsulation missing.,interface Gi0/0.60 ip address 10.60.0.1 255.255.255.0 (no 'encapsulation dot1Q 60' line present),"Sub-interface Gi0/0.60 is missing the 'encapsulation dot1Q 60' command, so it never processes tagged VLAN 60 frames.",Layer 3,VLAN/Routing,Medium,show running-config interface Gi0/0.60
NET-024,"A handful of PCs get correct IPs but wrong default gateway, causing them to fail reaching other subnets.",DHCP pool VLAN10-POOL was edited and default-router value was mistyped.,ip dhcp pool VLAN10-POOL: default-router 192.168.10.100 (actual gateway is 192.168.10.1),The DHCP pool's default-router value (192.168.10.100) does not match the real gateway IP (192.168.10.1).,Layer 3,DHCP,Low,show ip dhcp pool VLAN10-POOL
NET-025,Wireless clients near the edge of the building experience frequent disconnects and low throughput.,Two APs on overlapping channels 6 and 6 with high power settings in adjacent rooms.,"AP1 channel 6, power 100% | AP2 channel 6, power 100% | co-channel interference reported in RF logs",Co-channel interference from AP1 and AP2 both using channel 6 with full power in overlapping coverage areas.,Layer 1/2,Wireless,Medium,show wireless ap summary
NET-026,Server backup job to the offsite backup target fails to start every night.,"ACL 130 was recently reordered, moving a broad deny statement above the backup permit rule.","access-list 130 deny ip 10.0.5.0 0.0.0.255 any (line 5) | access-list 130 permit tcp host 10.0.5.10 host 203.0.113.20 eq 22 (line 10, unreachable)","ACL 130's specific permit rule for the backup host is placed after a broader deny statement, so it never gets evaluated (ACL order-of-operations issue).",Layer 3/4,ACL,Medium,show access-lists 130
NET-027,"After enabling a second ISP link for redundancy, some external websites became unreachable intermittently.","OSPF redistribution of static default routes misconfigured, creating a routing loop for certain prefixes.","show ip route: 0.0.0.0/0 [110/1] via 10.0.0.2, then flaps to via 10.0.0.6 repeatedly | traceroute shows TTL exceeded loop between R1 and R2",Route redistribution misconfiguration is creating a routing loop for the default route between R1 and R2.,Layer 3,Routing,High,show ip route 0.0.0.0
NET-028,External partner cannot reach the published web server via the public IP despite NAT and firewall rules seemingly correct.,"Static NAT configured for public IP 203.0.113.50 to internal 10.0.5.10; ACL permits port 80 only, partner uses HTTPS (443).",ip nat inside source static tcp 10.0.5.10 80 203.0.113.50 80 | access-list 115 permit tcp any host 10.0.5.10 eq 80,"Only port 80 is NAT'd and permitted; port 443 (HTTPS), which the partner actually uses, has no NAT translation or ACL entry.",Layer 3,NAT/ACL,Medium,show ip nat translations
NET-029,A printer moved to a new office cannot be reached at its known static IP anymore.,Printer physically moved to a new switch port that was previously configured for a different VLAN.,interface FastEthernet0/8 switchport access vlan 20 (printer expects VLAN 10 addressing 192.168.10.0/24),"The new switch port the printer was plugged into is assigned to VLAN 20 instead of VLAN 10, putting the printer on the wrong subnet.",Layer 2,VLAN,Low,show interfaces FastEthernet0/8 switchport
NET-030,"After a router HSRP failover test, half the LAN lost internet access even though both routers appear up.",HSRP configured between R1 (active) and R2 (standby) for the LAN default gateway virtual IP.,"R1 Vlan10 HSRP state: Active, priority 110 | R2 Vlan10 HSRP state: Standby, priority 100 | R2 has no route to 0.0.0.0/0 (default route missing)","R2 (the standby HSRP router) has no default route configured, so when it briefly becomes active during failover testing, it cannot forward internet-bound traffic.",Layer 3,Gateway/Routing,High,show standby brief
